ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
209.97327,-60.7653,22.72,29.48,2.34,1.27,1,3,3,1,90.0,29.48
211.27484,-60.52637,28.93,25.26,2.57,1.14,3,3,3,1,65.0,28.93
313.0553,44.18936,12.87,14.89,2.98,0.409,3,3,3,1,90.0,14.89
304.06021,39.64849,29.59,28.08,2.84,1.18,3,3,3,1,65.0,29.59
309.89913,43.5924,13.14,19.17,3.85,0.414,3,3,3,1,90.0,19.17
313.01605,43.90321,14.46,21.52,6.26,0.25,3,3,3,1,90.0,21.52
309.78903,39.25423,22.81,28.1,2.83,0.772,3,3,3,1,90.0,28.1
292.96743,19.62902,22.99,16.55,3.69,0.434,3,3,3,1,65.0,22.99
311.27955,43.28379,22.7,20.88,6.04,0.32,3,3,3,1,65.0,22.7
306.82133,42.23823,29.54,28.54,2.88,0.879,3,3,3,1,65.0,29.54
308.24067,42.46258,14.0,21.75,2.33,0.267,3,3,3,1,90.0,21.75
307.8792,37.67667,20.12,19.57,3.41,1.01,3,3,3,1,65.0,20.12
303.46789,39.48276,12.48,15.12,2.85,0.183,3,3,3,1,90.0,15.12
289.72958,12.36783,6.473,28.78,6.52,0.484,1,3,3,1,90.0,28.78
290.81474,15.99278,12.73,15.86,2.87,1.54,3,3,3,1,90.0,15.86
309.21573,38.02407,20.25,18.86,2.93,0.41,3,3,3,1,65.0,20.25
283.19092,2.55638,13.94,23.15,5.28,0.552,3,3,3,1,90.0,23.15
274.53324,-20.43272,20.36,21.17,2.05,0.44,3,3,3,1,90.0,21.17
271.99015,-18.96191,16.21,22.18,2.55,0.58,1,3,3,1,90.0,22.18
269.85638,-23.39892,20.69,26.94,2.33,1.11,3,3,3,1,90.0,26.94
260.55136,-39.02531,17.15,17.93,5.78,0.702,3,3,3,1,90.0,17.93
277.68893,-12.49786,24.12,27.71,9.07,1.65,3,3,3,1,90.0,27.71
262.97213,-32.13609,26.34,16.45,2.83,0.512,3,3,3,1,65.0,26.34
303.79459,39.1798,19.31,19.23,3.41,0.721,3,3,3,1,65.0,19.31
207.94917,-62.47322,20.98,24.89,2.16,0.314,3,3,3,1,90.0,24.89
150.80097,-57.39704,15.51,29.07,2.22,1.25,1,3,3,1,90.0,29.07
173.404,-62.5718,24.31,22.3,4.02,0.334,3,3,3,1,65.0,24.31
192.25724,-62.32463,17.18,21.17,4.26,0.291,3,3,3,1,90.0,21.17
186.46415,-62.19952,8.746,16.9,2.11,0.328,1,3,3,1,90.0,16.9
177.44505,-63.5717,18.43,16.84,7.97,0.365,3,3,3,1,65.0,18.43
186.87193,-63.07859,26.5,29.7,3.07,0.804,3,3,3,1,90.0,29.7
154.5516,-57.72078,16.19,22.79,3.22,1.38,1,3,3,1,90.0,22.79
310.24145,40.58956,18.74,16.44,3.1,1.65,3,3,3,1,65.0,18.74
198.85698,-61.38187,17.99,29.99,4.13,0.786,3,3,3,1,90.0,29.99
285.96399,6.4366,27.6,24.01,3.13,1.12,3,3,3,1,65.0,27.6
269.84446,-22.00184,15.66,18.88,2.49,0.786,3,3,3,1,90.0,18.88
305.88021,43.89513,17.69,20.48,2.29,1.07,1,3,3,1,90.0,20.48
172.95904,-63.53376,22.09,22.9,2.08,0.617,3,3,3,1,90.0,22.9
171.78316,-62.70539,18.56,22.08,2.46,2.14,1,3,3,1,90.0,22.08
231.42997,-57.51268,22.14,21.92,2.19,0.179,3,3,3,1,65.0,22.14
210.51621,-60.29346,14.18,15.95,4.22,0.262,3,3,3,1,90.0,15.95
200.51848,-62.81022,14.57,20.98,2.12,0.427,3,3,3,1,90.0,20.98
188.26721,-63.05103,10.79,19.03,2.82,0.87,1,3,3,1,90.0,19.03
207.27969,-62.6349,19.27,20.06,4.91,0.61,1,3,3,1,90.0,20.06
187.58176,-62.69731,16.61,24.86,2.4,0.475,1,3,3,1,90.0,24.86
209.26418,-62.7681,15.15,19.73,2.95,0.446,3,3,3,1,90.0,19.73
185.36402,-62.98846,14.36,25.81,2.53,1.45,1,3,3,1,90.0,25.81
191.31005,-62.96588,7.17,14.87,3.11,0.376,1,3,3,1,90.0,14.87
176.63851,-62.43671,22.47,24.02,3.48,0.604,3,3,3,1,90.0,24.02
211.83234,-60.78486,18.77,23.23,6.63,0.228,3,3,3,1,90.0,23.23
202.38577,-62.64289,19.4,26.24,2.56,0.867,3,3,3,1,90.0,26.24
173.76954,-64.14645,10.63,17.48,2.18,0.347,3,3,3,1,90.0,17.48
187.39805,-62.44547,17.13,23.42,2.7,0.862,3,3,3,1,90.0,23.42
178.82264,-63.46278,22.92,22.51,4.51,1.61,3,3,3,1,65.0,22.92
194.70414,-62.43575,22.98,22.81,2.16,0.431,3,3,3,1,65.0,22.98
226.87284,-58.1488,15.47,18.32,2.24,0.886,3,3,3,1,90.0,18.32
217.6748,-60.17978,19.58,18.58,2.1,0.663,3,3,3,1,65.0,19.58
171.96646,-62.81429,29.46,20.75,2.42,1.81,3,3,3,1,65.0,29.46
247.59076,-47.42276,17.99,27.32,2.24,0.765,3,3,3,1,90.0,27.32
223.49434,-59.67892,21.11,22.5,5.6,1.12,3,3,3,1,90.0,22.5
217.04254,-60.7917,18.71,26.42,2.18,0.22,3,3,3,1,90.0,26.42
213.44428,-59.93336,13.63,20.44,6.11,0.206,3,3,3,1,90.0,20.44
220.60976,-59.74736,10.56,14.4,7.33,0.911,1,3,3,1,90.0,14.4
