ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
233.49484,-56.02702,1.533,17.48,,0.911,1,1,3,1,90.0,17.48
348.74935,62.40311,2.884,9.85,,0.92,1,1,3,1,90.0,9.85
352.55831,61.61808,2.73,3.451,,0.0509,3,1,2,0,90.0,3.451
339.19464,64.01182,1.684,3.609,,0.151,1,1,2,0,90.0,3.609
281.77406,-6.65537,0.9148,14.01,,0.316,1,1,3,1,90.0,14.01
348.97353,62.66539,2.31,3.015,,0.119,1,1,2,0,90.0,3.015
351.41513,58.1243,1.963,3.718,,0.202,1,1,2,0,90.0,3.718
353.76427,60.32809,2.993,4.148,,0.0656,1,1,2,0,90.0,4.148
352.71524,64.24506,1.551,5.72,,0.0353,1,1,2,0,90.0,5.72
351.4228,60.25596,1.106,3.001,,0.0767,1,1,2,0,90.0,3.001
324.85079,50.88848,1.517,3.8,,0.222,1,1,2,0,90.0,3.8
348.59754,60.26424,2.268,7.973,,0.744,1,1,3,1,90.0,7.973
351.96467,63.89179,1.332,3.144,,0.164,1,1,2,0,90.0,3.144
352.37367,60.42864,1.526,3.495,,0.088,1,1,2,0,90.0,3.495
349.54126,60.31214,0.3699,7.591,,0.493,1,1,2,0,90.0,7.591
307.06824,36.08272,1.459,4.196,,0.22,1,1,2,0,90.0,4.196
139.34602,-49.66923,1.598,4.714,,0.099,1,1,2,0,90.0,4.714
269.4027,-20.73423,1.612,3.061,,0.252,1,1,3,1,90.0,3.061
359.68239,67.08221,2.402,4.709,0.427,0.184,1,1,2,0,90.0,4.709
284.54012,2.25567,1.466,20.63,,0.147,1,1,3,1,90.0,20.63
288.1985,-46.01007,2.801,4.02,,0.0259,3,1,2,0,90.0,4.02
352.66999,58.70611,2.908,3.412,,0.0511,1,1,2,0,90.0,3.412
356.67235,60.51306,1.129,4.176,,0.176,1,1,2,0,90.0,4.176
349.57721,61.47182,0.5095,7.266,,0.146,1,1,3,1,90.0,7.266
351.37284,61.49424,1.449,6.302,,0.0978,1,3,2,0,90.0,6.302
288.45666,7.15325,1.096,3.354,,0.138,1,1,3,1,90.0,3.354
136.26946,-47.33399,1.607,3.712,,0.149,1,1,2,0,90.0,3.712
356.9076,67.92265,2.793,3.699,,0.298,1,1,2,0,90.0,3.699
270.81687,-18.85523,2.9,4.521,,0.228,1,1,3,1,90.0,4.521
