ra,dec
209.97327,-60.7653
211.27484,-60.52637
313.0553,44.18936
304.06021,39.64849
309.89913,43.5924
313.01605,43.90321
309.78903,39.25423
292.96743,19.62902
311.27955,43.28379
306.82133,42.23823
308.24067,42.46258
307.8792,37.67667
303.46789,39.48276
289.72958,12.36783
290.81474,15.99278
309.21573,38.02407
283.19092,2.55638
274.53324,-20.43272
271.99015,-18.96191
269.85638,-23.39892
260.55136,-39.02531
277.68893,-12.49786
262.97213,-32.13609
303.79459,39.1798
207.94917,-62.47322
150.80097,-57.39704
173.404,-62.5718
192.25724,-62.32463
186.46415,-62.19952
177.44505,-63.5717
186.87193,-63.07859
154.5516,-57.72078
310.24145,40.58956
198.85698,-61.38187
285.96399,6.4366
269.84446,-22.00184
305.88021,43.89513
172.95904,-63.53376
171.78316,-62.70539
231.42997,-57.51268
210.51621,-60.29346
200.51848,-62.81022
188.26721,-63.05103
207.27969,-62.6349
187.58176,-62.69731
209.26418,-62.7681
185.36402,-62.98846
191.31005,-62.96588
176.63851,-62.43671
211.83234,-60.78486
202.38577,-62.64289
173.76954,-64.14645
187.39805,-62.44547
178.82264,-63.46278
194.70414,-62.43575
226.87284,-58.1488
217.6748,-60.17978
171.96646,-62.81429
247.59076,-47.42276
223.49434,-59.67892
217.04254,-60.7917
213.44428,-59.93336
220.60976,-59.74736
201.92639,-62.73907
211.80256,-62.34981
217.25515,-61.24624
208.17519,-62.79995
232.77655,-56.73243
218.12115,-60.6768
230.31761,-57.05172
185.14997,-62.97156
173.81469,-63.09527
179.95884,-63.5703
224.43529,-58.64944
225.86046,-59.56883
222.35583,-60.12556
214.13822,-61.45499
223.82344,-59.57962
209.48311,-63.83821
235.41809,-55.15793
201.50608,-62.1339
241.19304,-50.632
229.41603,-59.6469
237.00001,-53.73261
246.86493,-48.53319
202.07328,-62.15135
253.59106,-46.4174
234.41684,-56.76487
258.51633,-41.27359
262.77472,-37.08654
264.68693,-32.34632
250.78488,-49.13741
260.61119,-36.53608
285.54665,5.54537
262.72731,-36.09664
271.98349,-18.65531
269.82277,-22.05734
280.86839,-0.60139
276.02904,-13.42901
280.45883,-5.89175
276.76039,-13.71963
284.3571,0.8011
285.67208,5.34926
290.876,13.74069
292.89375,17.50795
293.04386,18.90448
293.92656,20.63308
152.06624,-56.91642
288.44725,13.83386
303.99277,42.09215
303.90362,32.15876
303.30143,42.57369
288.77852,9.5926
305.77723,35.42108
301.7009,35.13912
308.44935,39.30753
308.94202,38.53534
296.59213,24.73857
291.42416,16.74776
305.17702,37.87798
306.12841,36.0109
308.35024,41.72465
306.60127,42.23341
300.35139,33.29891
312.12793,42.27731
307.54636,43.52546
309.20461,39.04309
309.22937,39.42052
307.72101,42.55948
307.93248,42.31468
310.30194,40.93239
309.74732,38.2258
305.47466,34.34179
291.93588,16.02445
310.20983,39.29346
312.77239,44.66418
310.11422,38.80613
309.73156,39.73305
309.88214,39.49542
308.37835,42.78822
309.4633,41.56086
307.02925,36.73147
306.83497,41.04392
212.84153,-62.222
0.49362,36.64911
0.79025,21.96009
1.48328,60.86108
1.52676,60.87396
2.08635,40.63184
6.91974,69.6479
9.21928,-33.55474
0.67243,41.24708
1.35357,-73.20918
2.43368,-73.17593
3.5148,-73.32656
5.38605,-71.84604
7.83107,-72.38217
9.92245,72.611
4.72057,-10.45253
5.5835,51.57356
9.68531,45.43543
0.66047,7.67648
3.61758,-41.24788
4.52548,28.61252
6.03317,47.97
