ra,dec,W3 - W4,W4
38.3847148,-84.7550161,2.2150000000000007,7.204
247.0964981,-83.6645254,2.0,8.199
333.1669949,-81.7715118,1.5359999999999996,8.486
258.9615416,-80.8216905,2.2689999999999992,7.934
104.8600109,-79.6463846,2.4059999999999997,-2.324
78.8217649,-79.2271952,1.8259999999999996,7.457
12.0675693,-78.7958748,1.7509999999999994,8.327
13.1750829,-77.9500616,1.9639999999999995,7.761
49.1553547,-76.9045143,1.782,8.633
208.324551,-76.279498,1.7619999999999987,8.342
11.4323642,-75.9927014,1.771,7.783
148.4901368,-75.4524591,2.0200000000000005,7.739
21.8197991,-75.3608988,2.0229999999999997,7.497
249.9336137,-75.2500244,1.5220000000000002,8.192
240.8382105,-83.8084646,1.819,7.547
141.5649136,-83.3904565,1.754999999999999,8.553
318.7245515,-82.045767,1.718,8.406
4.3957152,-80.8577362,1.6219999999999999,8.657
204.3663797,-80.0949618,2.6340000000000003,6.744
164.8728284,-78.1098074,2.0709999999999997,7.856
47.3838936,-77.6593765,1.761000000000001,8.026
313.4884868,-77.5789171,2.5589999999999993,6.836
268.5279184,-77.4525795,2.0020000000000007,8.365
336.9691002,-76.5460324,1.8399999999999999,8.175
193.6003942,-76.0318379,2.418,7.262
5.5303188,-75.6498416,1.5419999999999998,8.366
59.7850678,-74.5488741,1.8369999999999997,8.299
172.6981338,-83.9344497,1.928,7.825
152.914736,-81.8345009,2.1389999999999993,7.875
192.0773223,-81.1187149,1.9000000000000004,7.805
156.7030025,-80.281642,2.4460000000000006,7.787
155.2894686,-79.8073532,1.6579999999999995,8.707
327.3940976,-79.5498405,1.8019999999999996,8.204
259.496299,-77.5689535,1.8049999999999997,8.058
180.7577999,-77.5138896,1.612,8.626
3.9956251,-87.3189639,1.8840000000000003,7.616
91.8423795,-73.9525927,2.0429999999999993,7.779
78.4880753,-73.6959356,1.9740000000000002,7.115
15.3733016,-73.590543,2.397999999999999,7.892
328.9795816,-71.8629155,1.9400000000000013,8.504
75.4795163,-70.635977,2.326999999999999,7.113
69.1808472,-70.0241738,1.766,8.099
80.8622518,-69.7899933,2.388,7.968
81.1992325,-69.5405804,1.5350000000000001,7.991
72.5540244,-69.4701584,2.6359999999999992,6.564
86.6236316,-69.3948431,2.189,6.769
235.4606228,-69.3402402,1.8680000000000003,8.462
82.0245718,-69.3290303,2.723,7.142
84.1506551,-69.2351677,2.479,4.939
74.2366269,-69.1979109,2.6839999999999993,6.166
73.4340917,-69.1792978,2.6689999999999996,7.296
129.6173273,-69.1789214,1.888,7.786
85.8415336,-69.0322478,2.5230000000000006,6.915
84.1552864,-68.9940173,2.6289999999999996,5.43
77.3882201,-68.8834154,3.5100000000000007,6.085
82.3796234,-68.6702262,2.359,5.594
193.3936891,-68.3374057,2.635,7.186
126.78827,-68.17356,1.8889999999999993,6.74
84.1057318,-72.8427463,1.7030000000000012,8.232
320.3051501,-72.1183589,1.661999999999999,8.031
129.9538149,-72.0404723,1.9510000000000005,7.686
82.7709434,-71.1323598,3.5809999999999995,4.946
326.6314085,-71.00618,1.9770000000000003,8.398
25.0588651,-70.7348873,1.7859999999999996,7.23
84.6157155,-70.6752218,3.024000000000001,6.728
320.786065,-70.6601925,2.5919999999999996,6.864
85.3131691,-70.2727636,2.2170000000000005,7.379
85.2877009,-70.1267314,1.8150000000000013,8.604
341.8133361,-70.0499361,1.8840000000000003,8.025
324.6092842,-69.6585649,2.521,7.556
84.0914698,-69.6321076,3.311,7.026
84.6949135,-69.5753839,2.9269999999999996,5.625
83.6098172,-69.5552253,2.6080000000000005,6.644
88.5644861,-69.5541152,1.9420000000000002,8.148
83.6856099,-69.5332549,2.9210000000000003,5.639
74.0360101,-69.5012249,2.1240000000000006,8.261
85.8810571,-69.4286374,2.3689999999999998,6.849
73.1995087,-69.3231198,2.1560000000000006,8.311
83.8082898,-69.2266135,4.223000000000001,4.795
75.5874372,-69.0630285,1.8650000000000002,7.5
77.0588556,-69.0394774,2.099,7.522
327.7633529,-68.7832048,3.37,6.114
358.7527027,-68.6992362,1.8190000000000008,8.533
81.1483631,-68.5086338,1.891,8.36
81.1900927,-68.4835945,2.8579999999999997,7.015
104.4878973,-68.4039331,2.072000000000001,8.399
16.8249896,-68.2062963,1.8970000000000011,7.733
110.0465655,-68.0372685,1.923,8.077
65.4259556,-67.9938714,1.7519999999999998,7.412
11.8281037,-73.3779596,2.995000000000001,7.504
107.1134582,-73.2821505,1.8449999999999989,8.137
338.4640069,-72.3893553,1.5869999999999997,8.041
145.0764015,-72.2654844,1.8100000000000005,8.433
305.0729153,-71.7698788,2.6950000000000003,7.298
81.0944723,-71.5321703,2.953999999999999,6.698
303.744687,-71.4405464,2.0939999999999994,7.916
76.0315436,-71.111366,3.6080000000000005,4.143
56.8957821,-71.0566598,2.4770000000000003,7.962
82.1773778,-71.0001786,2.4010000000000007,7.848
15.7027705,-70.7562018,2.4380000000000006,7.506
205.1920354,-70.6839745,2.3449999999999998,7.646
121.1939482,-70.6347183,1.8330000000000002,7.416
80.8710438,-69.9075151,1.9700000000000006,7.897
85.2723117,-69.7748836,1.6900000000000004,6.681
85.3832898,-69.548511,2.3259999999999996,7.437
83.8034365,-69.4187989,2.875,6.939
79.2957056,-69.291105,2.5230000000000006,7.396
79.553336,-69.2126056,3.3920000000000003,6.639
83.8662224,-69.1961426,3.6899999999999995,4.128
83.5828179,-69.1711173,2.410000000000001,7.406
82.6133775,-69.1142895,1.5229999999999997,8.26
85.6862645,-69.0372522,2.7150000000000007,6.271
291.7275653,-68.8734515,1.6460000000000008,8.645
75.268319,-68.8684492,1.9060000000000006,7.526
257.179465,-68.6916036,2.013,8.013
82.9344496,-68.5200301,2.7680000000000007,6.244
334.9400652,-74.1920532,1.6080000000000005,8.503
313.9958656,-74.1393327,1.638,8.292
313.590509,-73.8398102,2.0469999999999997,7.797
82.062404,-67.4351801,2.51,5.964
216.7277584,-66.662617,1.9920000000000009,8.5
176.1065201,-66.5277025,2.154000000000001,7.608
74.1300077,-66.4998677,2.7810000000000006,6.606
78.8540498,-66.432205,1.5859999999999994,7.777
74.52649,-66.36829,3.870000000000001,4.603
91.3680929,-66.2142919,2.439,7.737
128.2910613,-66.1705448,2.999999999999999,5.453
232.3079501,-66.1532252,2.3369999999999997,8.087
88.1932639,-65.9882874,2.0630000000000006,8.426
331.1009879,-65.7090133,1.7579999999999991,7.756
120.9141245,-65.5829145,2.154,7.59
358.7856454,-64.9894862,1.7390000000000008,7.436
130.9536908,-64.9142465,1.7039999999999988,8.544
177.8591389,-64.6255427,2.2990000000000004,6.717
101.0890128,-64.6244506,1.8689999999999998,8.427
358.9939037,-64.5800205,1.7490000000000006,8.741
176.3936072,-64.3844676,2.0040000000000013,8.264
174.8076731,-64.1850817,2.062000000000001,8.434
119.6059813,-64.1841137,1.8399999999999999,8.506
196.7223762,-64.1618189,1.9640000000000004,7.474
212.6792186,-63.9979649,1.5729999999999995,7.713
171.3211192,-63.9935137,2.892999999999999,7.493
194.1835415,-63.8997729,1.763,8.701
180.8260285,-63.8542727,1.888,8.472
172.3197352,-63.8230018,2.724,6.413
179.4406196,-63.8147698,2.5180000000000007,6.939
199.4444487,-63.8001403,1.7269999999999985,8.755
182.5000688,-63.7802072,1.968,8.51
196.7545974,-63.7704827,3.4640000000000004,6.308
176.4698939,-63.7498617,2.1419999999999995,8.125
161.4112661,-63.6806948,2.7510000000000003,7.435
173.2845507,-63.6510088,2.2029999999999994,7.965
267.278453,-63.6277005,1.8039999999999994,6.915
199.105188,-63.6174179,1.9100000000000001,8.296
173.8295169,-63.4932212,2.7110000000000003,7.087
204.2510321,-63.3909894,1.702,8.769
172.1249143,-63.3867673,2.519,5.802
174.2986085,-63.3729811,4.231,4.093
172.2033278,-63.3576605,2.7600000000000007,6.38
214.3484144,-63.3354931,2.758,7.578
176.1395355,-63.2977481,2.755,6.393
178.926755,-63.2810245,2.1020000000000003,7.833
182.1658673,-63.2273653,2.1160000000000005,6.685
200.487547,-63.2213746,1.8149999999999995,8.628
217.63776,-63.21894,2.2910000000000004,7.304
201.8818546,-63.1289877,1.9729999999999999,7.37
182.4049161,-63.0956679,2.213,5.733
182.5535694,-63.0706848,2.3740000000000006,6.647
217.5648242,-63.0108484,2.402000000000001,8.024
183.7472919,-62.9580814,5.065,1.13
44.2147102,-67.8621025,2.0680000000000014,8.187
233.2186096,-67.3685162,1.7519999999999998,7.908
80.7507195,-67.1126942,2.2959999999999994,7.038
6.6928463,-66.7928938,2.0410000000000004,7.452
295.3724917,-66.6084995,2.101000000000001,7.84
74.343971,-66.4655134,2.8280000000000003,6.905
210.8252187,-66.4012116,1.9529999999999994,8.042
230.4410579,-66.145482,1.6449999999999996,8.601
96.0836284,-65.5034096,1.827,8.175
198.4723649,-65.302049,1.782,8.714
177.603394,-64.8683602,1.7690000000000001,3.473
156.3266625,-64.8390207,1.5510000000000002,8.62
171.4918594,-64.69997,2.689,7.695
263.7062719,-64.6578652,1.5780000000000012,8.318
200.6496945,-64.4533703,2.5229999999999997,7.757
200.1409426,-64.4500741,2.844999999999999,7.259
175.9449659,-64.225838,2.508000000000001,7.725
177.0123544,-64.0839822,2.7570000000000006,6.633
169.9385296,-64.0660503,2.1159999999999997,8.145
205.3477504,-64.0020299,1.6530000000000005,8.382
37.4289512,-63.9942777,1.6240000000000006,8.524
176.4780872,-63.9786928,2.1259999999999994,8.372
172.6509736,-63.9228306,2.464999999999999,5.988
171.1437034,-63.9041864,2.7220000000000004,7.611
175.2631404,-63.8904467,2.1910000000000007,7.927
202.0923568,-63.8769839,3.086000000000001,7.265
175.896567,-63.8646314,2.287000000000001,8.011
172.49568,-63.85835,2.742000000000001,5.59
177.1124743,-63.8541468,1.8160000000000007,8.665
174.8193024,-63.766668,2.325,5.289
206.0206988,-63.743682,2.317,7.971
173.27784,-63.7340295,1.865000000000001,7.637
199.6984926,-63.6557945,1.7609999999999992,8.525
181.4376256,-63.6543474,2.005000000000001,7.356
179.6224756,-63.6407696,2.2089999999999996,4.708
320.4881225,-63.6014202,1.681000000000001,8.417
298.8609113,-63.5480491,1.9409999999999998,7.671
110.9129132,-63.5225744,1.5860000000000003,8.776
66.1314225,-63.5048336,1.7670000000000003,7.912
205.6579386,-63.3496059,2.402000000000001,7.523
184.1903542,-63.279838,2.178000000000001,7.757
183.8046558,-63.2576842,3.2669999999999995,5.836
174.1770786,-63.1468389,3.4590000000000005,6.137
169.4730132,-63.080745,1.9290000000000003,8.525
206.5678476,-63.0009848,1.758,7.062
164.8187481,-62.9842127,2.432999999999999,7.232
176.2924701,-62.9772741,2.5280000000000005,7.695
200.4320709,-62.9550155,3.6899999999999995,5.493
174.9666957,-62.9527686,1.5669999999999984,8.816
333.2203025,-67.8874673,1.8919999999999995,7.096
83.9478001,-67.7269072,2.954999999999999,7.45
5.1351427,-67.3512353,1.904,8.428
10.0644048,-67.2657832,2.0700000000000003,5.688
225.2345866,-67.2368048,1.9529999999999994,8.243
73.3969382,-66.9912202,2.252,7.601
92.5761864,-66.522258,2.191,7.778
74.0202269,-66.4190372,2.0599999999999996,7.364
194.4144053,-66.0372978,2.295,8.124
236.0601582,-65.8015137,1.8979999999999988,7.831
134.4324568,-65.7806297,1.9809999999999999,8.496
267.6230481,-65.6224026,1.8650000000000002,8.265
131.3597161,-65.4558859,2.178,7.845
15.5981685,-65.4279241,1.9610000000000003,6.651
75.2735919,-65.3506646,1.718,8.573
170.39064,-64.9350291,2.094000000000001,8.36
89.6585993,-64.7879142,1.92,8.26
209.0553527,-64.4556666,2.287000000000001,8.164
191.3568259,-64.4117316,2.1950000000000003,8.059
180.6979624,-64.3174141,1.5710000000000015,8.655
175.4422507,-64.2654945,1.8369999999999997,6.602
180.2139733,-64.2206088,1.6219999999999999,8.073
172.2215912,-63.9519992,2.3679999999999994,6.463
194.7083266,-63.9142333,2.2889999999999997,8.012
174.4829762,-63.9051397,2.801000000000001,6.326
169.7432606,-63.780937,2.139000000000001,8.084
198.7052041,-63.7698353,2.4990000000000006,7.285
161.2477917,-63.7380293,2.7,6.749
173.1443063,-63.6979121,2.567,7.141
182.4902012,-63.6934008,2.4109999999999996,7.15
178.4624942,-63.6885592,2.628,7.26
201.9695049,-63.6424468,2.0,8.193
178.0551442,-63.5472744,1.6750000000000007,8.139
182.1787271,-63.5412223,2.2650000000000006,7.962
214.7113076,-63.4473106,1.8170000000000002,8.345
173.2736414,-63.4342444,3.1630000000000003,7.1
179.2297873,-63.394492,1.8149999999999995,7.885
173.0321158,-63.382872,1.8280000000000012,8.415
